Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.00967766
2.01	-0.124151
2.02	-0.127063
2.03	-0.0795077
2.04	-0.0081835
2.05	0.00305616
2.06	-0.014558
2.07	-0.0327812
2.08	-0.0874905
2.09	-0.092456
2.1	-0.107011
2.11	-0.113123
2.12	-0.0996416
2.13	-0.108439
2.14	-0.0233494
2.15	0.231689
2.16	0.622487
2.17	0.800988
2.18	0.587565
2.19	0.284114
2.2	0.041833
2.21	-0.0741928
2.22	-0.0959413
2.23	-0.123345
2.24	-0.0991965
2.25	-0.100865
2.26	-0.106603
2.27	-0.0891376
2.28	-0.0976794
2.29	-0.0684122
2.3	-0.0616979
2.31	-0.0503348
2.32	-0.0248719
2.33	-0.032085
2.34	-0.00151063
2.35	0.0107168
2.36	0.0308423
2.37	0.0737182
2.38	0.0764916
2.39	0.10147
2.4	0.105971
2.41	0.113425
2.42	0.122436
2.43	0.0837568
2.44	0.0749043
2.45	0.03506
2.46	0.00400441
2.47	0.00082771
2.48	-0.0374205
2.49	-0.034342
2.5	-0.0471018
2.51	-0.0528359
2.52	-0.0318572
2.53	-0.0414602
2.54	-0.0219373
2.55	-0.0354742
2.56	-0.0403289
2.57	-0.025919
2.58	-0.0482926
2.59	-0.0326973
2.6	-0.0421074
2.61	-0.0558056
2.62	-0.0511798
2.63	-0.0706563
2.64	-0.0520473
2.65	-0.0661372
2.66	-0.0712226
2.67	-0.0596996
2.68	-0.0792094
2.69	-0.0597292
2.7	-0.0722257
2.71	-0.0801349
2.72	-0.0697936
2.73	-0.0909933
2.74	-0.0728718
2.75	-0.0791874
2.76	-0.0778993
2.77	-0.0536477
2.78	-0.0659697
2.79	-0.0400462
2.8	-0.0296934
2.81	-0.0122639
2.82	0.00592421
2.83	-0.0322023
2.84	-0.0502875
2.85	-0.093234
2.86	-0.117876
2.87	-0.115387
2.88	-0.133327
2.89	-0.095919
2.9	-0.074864
2.91	0.0491239
2.92	0.401019
2.93	0.711068
2.94	0.731928
2.95	0.447941
2.96	0.147114
2.97	-0.0117382
2.98	-0.0976815
2.99	-0.103042
3	-0.119953
3.01	-0.11832
3.02	-0.0971424
3.03	-0.117841
3.04	-0.093704
3.05	-0.0917733
3.06	-0.0805822
3.07	-0.053749
3.08	-0.0661601
3.09	-0.0361116
3.1	-0.0301931
3.11	-0.0152598
3.12	0.0171655
3.13	0.0229872
3.14	0.0695251
3.15	0.0810387
3.16	0.0874334
3.17	0.113463
3.18	0.100624
3.19	0.116573
3.2	0.0923277
3.21	0.0603875
3.22	0.0377688
3.23	-0.0183387
3.24	-0.0192797
3.25	-0.0385404
3.26	-0.0457623
3.27	-0.0236061
3.28	-0.0376012
3.29	-0.0254818
3.3	-0.0403824
3.31	-0.037841
3.32	-0.0194974
3.33	-0.0382005
3.34	-0.0235404
3.35	-0.0364182
3.36	-0.0435182
3.37	-0.0378664
3.38	-0.0608297
3.39	-0.0476534
3.4	-0.0628219
3.41	-0.0706126
3.42	-0.0568944
3.43	-0.074217
3.44	-0.0560743
3.45	-0.0653807
3.46	-0.0723216
3.47	-0.0619619
3.48	-0.0797734
3.49	-0.0643811
3.5	-0.073493
3.51	-0.0787804
3.52	-0.0619631
3.53	-0.0694766
3.54	-0.0458592
3.55	-0.0478969
3.56	-0.0282895
3.57	0.0117771
3.58	0.000244586
3.59	-0.00256904
3.6	-0.0356404
3.61	-0.0657041
3.62	-0.0772886
3.63	-0.108072
3.64	-0.0955275
3.65	-0.0971058
3.66	-0.0758968
3.67	0.026164
3.68	0.292912
3.69	0.683653
3.7	0.773385
3.71	0.544335
3.72	0.243877
3.73	0.0181315
3.74	-0.052943
3.75	-0.0847248
3.76	-0.0879111
3.77	-0.0726478
3.78	-0.0938618
3.79	-0.0752203
3.8	-0.0697193
3.81	-0.0591598
3.82	-0.042428
3.83	-0.0504387
3.84	-0.0114804
3.85	-0.0106739
3.86	0.000761194
3.87	0.0294251
3.88	0.0244522
3.89	0.0632491
3.9	0.0746111
3.91	0.0947106
3.92	0.125783
3.93	0.112451
3.94	0.0977242
3.95	0.0892408
3.96	0.0797195
3.97	0.0869509
3.98	0.0434181
3.99	0.0255792
4	-0.00241765
4.01	-0.0298014
4.02	-0.02795
4.03	-0.0505097
4.04	-0.0274839
4.05	-0.0190776
4.06	-0.026597
4.07	-0.0152779
4.08	-0.0411533
4.09	-0.0253863
4.1	-0.0289425
4.11	-0.0430323
4.12	-0.0226281
4.13	-0.0444544
4.14	-0.0419769
4.15	-0.0522831
4.16	-0.0676737
4.17	-0.0546366
4.18	-0.0761478
4.19	-0.0608982
4.2	-0.065539
4.21	-0.0811784
4.22	-0.0729461
4.23	-0.0918387
4.24	-0.0767384
4.25	-0.0815579
4.26	-0.0885177
4.27	-0.0749379
4.28	-0.0992309
4.29	-0.0896297
4.3	-0.0875711
4.31	-0.0783263
4.32	-0.0413707
4.33	-0.0450653
4.34	-0.0150941
4.35	-0.0100672
4.36	-0.0338465
4.37	-0.0428812
4.38	-0.0893325
4.39	-0.0967417
4.4	-0.114684
4.41	-0.129247
